日期,用户ID,经度,纬度,距离,时间
2015/10/01,O,116.212842,39.898777,0,0
2015/10/01,10483629000,116.313995,39.979496,19424,36
2015/10/01,49700629100,116.315168,39.970206,1735,6
2015/10/01,20766631000,116.328972,39.97325,1716,9
2015/10/01,12731630300,116.335273,39.968409,1742,7
本车合计,,,,24617,58
2015/10/01,O,116.212842,39.898777,0,0
2015/10/01,30148630700,116.234432,39.949641,8007,23
2015/10/01,33142630300,116.234432,39.949641,0,0
2015/10/01,42020629800,116.236465,39.949421,175,2
2015/10/01,29486631700,116.255315,39.94803,1988,11
2015/10/01,38252630800,116.25722,39.949932,1094,4
2015/10/01,40331631200,116.225173,39.961703,3892,12
本车合计,,,,15156,52
2015/10/01,O,116.212842,39.898777,0,0
2015/10/01,31545630100,116.340145,39.912733,13738,22
2015/10/01,50198631500,116.33978,39.918298,718,3
2015/10/01,50469629700,116.33978,39.918298,0,0
2015/10/01,46575630300,116.351326,39.918774,987,3
2015/10/01,46575630600,116.351326,39.918774,0,0
2015/10/01,55365629500,116.351326,39.918774,0,0
2015/10/01,54534631500,116.349586,39.916908,336,1
2015/10/01,54722631300,116.352501,39.912327,862,4
2015/10/01,54722631200,116.352501,39.912327,0,0
2015/10/01,35374629400,116.351727,39.912303,99,1
2015/10/01,18408629300,116.352951,39.908405,598,3
2015/10/01,22404631200,116.349297,39.907883,640,4
本车合计,,,,17978,41
2015/10/01,O,116.212842,39.898777,0,0
2015/10/01,35778631400,116.247569,39.866259,6203,21
2015/10/01,35778631700,116.247569,39.866259,0,0
2015/10/01,35802630100,116.247569,39.866259,0,0
2015/10/01,37198631100,116.247569,39.866259,0,0
2015/10/01,34925631200,116.260201,39.880421,2665,8
2015/10/01,43805631700,116.260201,39.880421,0,0
2015/10/01,43805630700,116.260201,39.880421,0,0
2015/10/01,36371629000,116.26225,39.880511,221,2
2015/10/01,15227631600,116.267627,39.879261,652,5
2015/10/01,47341630000,116.273555,39.880363,755,3
本车合计,,,,10496,39
2015/10/01,O,116.212842,39.898777,0,0
2015/10/01,22306629800,116.36786,40.075051,40343,54
2015/10/01,24702629200,116.415894,40.176289,15894,19
2015/10/01,41820629300,116.393282,40.176005,2405,2
2015/10/01,26816629100,116.390999,40.176102,194,1
2015/10/01,38996631000,116.385658,40.176121,453,1
2015/10/01,38996631200,116.385658,40.176121,0,0
2015/10/01,22417629800,116.380533,40.175496,796,1
2015/10/01,22363629500,116.384392,40.178986,699,1
2015/10/01,41144628800,116.390993,40.178605,599,3
2015/10/01,35759630200,116.406057,40.221776,6393,8
本车合计,,,,67776,90
2015/10/01,O,116.212842,39.898777,0,0
2015/10/01,14307630900,116.403351,39.91095,18359,37
2015/10/01,12561629800,116.403053,39.910625,42,1
2015/10/01,28888629900,116.403046,39.911312,75,1
2015/10/01,12854629600,116.403046,39.911312,0,0
2015/10/01,11499629700,116.404036,39.915337,731,3
2015/10/01,11060631500,116.406448,39.911427,802,1
2015/10/01,10947631400,116.40683,39.910625,88,1
2015/10/01,9321631830,116.412941,39.910664,751,4
2015/10/01,9809631110,116.412941,39.910664,0,0
2015/10/01,9809631180,116.412941,39.910664,0,0
2015/10/01,43250630600,116.413288,39.910694,28,1
2015/10/01,43250630100,116.413288,39.910694,0,0
2015/10/01,14709630700,116.411301,39.923347,1632,5
本车合计,,,,22508,54
2015/10/01,O,116.212842,39.898777,0,0
2015/10/01,1038631710,116.143497,39.726906,25469,39
2015/10/01,838630870,116.508186,39.916889,48450,42
2015/10/01,13314630900,116.503258,39.924596,1484,5
2015/10/01,292631880,116.508755,39.925614,677,8
2015/10/01,12680630700,116.500093,39.92594,1333,3
2015/10/01,18720630400,116.499695,39.927875,299,2
2015/10/01,38734629900,116.499167,39.928669,167,2
2015/10/01,13454630900,116.505951,39.929859,924,7
2015/10/01,50562629800,116.498285,39.939361,1807,10
本车合计,,,,80610,118
2015/10/01,O,116.212842,39.898777,0,0
2015/10/01,11074630800,116.436233,39.915896,22328,24
2015/10/01,35238630300,116.450119,39.918049,1700,9
2015/10/01,35238631900,116.450119,39.918049,0,0
